total,pde,data,ic,bc,amplitude,pde_weight,lr
92.24317932128906,0.0,0.9134124517440796,0.7990077137947083,0.9865829348564148,0.9132952094078064,0.0,0.001
67.8902816772461,0.0,0.6719315648078918,0.6533300280570984,0.7274965047836304,0.671022355556488,0.0,0.001
48.64773178100586,0.0,0.4810076653957367,0.5289425253868103,0.5553873777389526,0.47991836071014404,0.0,0.001
36.479209899902344,0.0,0.36084461212158203,0.37534621357917786,0.40695974230766296,0.3596035838127136,0.0,0.001
27.119272232055664,0.0,0.2679678499698639,0.30680733919143677,0.33284419775009155,0.26600685715675354,0.0,0.001
20.401817321777344,0.0,0.20151059329509735,0.2466052770614624,0.25090864300727844,0.2001657485961914,0.0,0.001
15.828740119934082,0.0,0.15635377168655396,0.18236342072486877,0.20127032697200775,0.15455734729766846,0.0,0.001
12.584670066833496,0.0,0.12429056316614151,0.14452002942562103,0.16424721479415894,0.12301797419786453,0.0,0.001
10.251150131225586,0.0,0.10127387195825577,0.11676765978336334,0.12876452505588531,0.09967296570539474,0.0,0.001
8.358780860900879,0.0,0.08260110765695572,0.09413532167673111,0.10158538073301315,0.08094383776187897,0.0,0.001
6.891932964324951,0.0,0.06809158623218536,0.07608554512262344,0.08812883496284485,0.06668847054243088,0.0,0.001
5.745701789855957,0.0,0.05676068738102913,0.0657363012433052,0.07242059707641602,0.055403221398591995,0.0,0.001
4.902800559997559,0.0,0.048449695110321045,0.05609480291604996,0.05862785503268242,0.04692186042666435,0.0,0.001
4.189461708068848,0.0,0.04141867533326149,0.046550553292036057,0.047844644635915756,0.039601441472768784,0.0,0.001
3.6392271518707275,0.0,0.03596841171383858,0.04006713256239891,0.04401703178882599,0.034401919692754745,0.0,0.001
3.19274640083313,0.0,0.03154236823320389,0.03576960414648056,0.04065253585577011,0.02985008805990219,0.0,0.001
2.762690544128418,0.0,0.027290116995573044,0.03302853927016258,0.0338175892829895,0.025564908981323242,0.0,0.001
2.3952815532684326,0.0,0.023653479292988777,0.030129456892609596,0.029297614470124245,0.022003233432769775,0.0,0.001
2.101612091064453,0.0,0.020756902173161507,0.025401495397090912,0.026060005649924278,0.019099166616797447,0.0,0.001
1.857490062713623,0.0,0.018353790044784546,0.02178259752690792,0.022104555740952492,0.016752703115344048,0.0,0.001
1.6325923204421997,0.0,0.016128554940223694,0.019110675901174545,0.020069804042577744,0.014667779207229614,0.0,0.001
1.4335873126983643,0.0,0.014164074324071407,0.017325909808278084,0.016776639968156815,0.012868287041783333,0.0,0.001
1.2616045475006104,0.0,0.01245989091694355,0.015375847928225994,0.015629084780812263,0.01130678504705429,0.0,0.001
1.1476937532424927,0.0,0.011341510340571404,0.013892970979213715,0.012988741509616375,0.010196714662015438,0.0,0.001
1.0123947858810425,0.0,0.01000114344060421,0.012193085625767708,0.012187240645289421,0.009024115279316902,0.0,0.001
0.9192383289337158,0.0,0.00908155832439661,0.011279413476586342,0.010722765699028969,0.00813788641244173,0.0,0.001
0.8324017524719238,0.0,0.008226036094129086,0.00965168047696352,0.00979639682918787,0.007412580773234367,0.0,0.001
0.7513206601142883,0.0,0.0074181873351335526,0.009850352071225643,0.009021030738949776,0.006619588006287813,0.0,0.001
0.6907409429550171,0.0,0.006821898743510246,0.008462904021143913,0.008516928181052208,0.006116917822510004,0.0,0.001
0.6261575222015381,0.0,0.006184276659041643,0.007883266545832157,0.007465300615876913,0.00555413356050849,0.0,0.001
0.5872474908828735,0.0,0.005804137326776981,0.006768142804503441,0.006793970707803965,0.00526778120547533,0.0,0.001
0.549211323261261,0.0,0.005427467171102762,0.006578640080988407,0.006251571699976921,0.004949756897985935,0.0,0.001
0.5119274854660034,0.0,0.0050597661174833775,0.006124709267169237,0.005683969706296921,0.004649923648685217,0.0,0.001
0.4768226742744446,0.0,0.0047134216874837875,0.005529198795557022,0.005344731733202934,0.004351927898824215,0.0,0.001
0.44573384523391724,0.0,0.004405342973768711,0.005281452555209398,0.005034492816776037,0.0041582295671105385,0.0,0.001
0.4170313775539398,0.0,0.004121109377592802,0.004818295128643513,0.0049432734958827496,0.0039656455628573895,0.0,0.001
0.39396482706069946,0.0,0.0038930780719965696,0.004792627412825823,0.004443254321813583,0.003910902421921492,0.0,0.001
0.37208497524261475,0.0,0.003677808679640293,0.004499692004173994,0.004033384378999472,0.0037594735622406006,0.0,0.001
0.35772833228111267,0.0,0.0035357691813260317,0.004249004181474447,0.003979171626269817,0.0037345988675951958,0.0,0.001
0.3370860517024994,0.0,0.00333143537864089,0.004102198872715235,0.0037109910044819117,0.0035942012909799814,0.0,0.001
0.31474408507347107,0.0,0.0031101233325898647,0.003809586865827441,0.0035840794444084167,0.003493076888844371,0.0,0.001
0.3038800060749054,0.0,0.00300231808796525,0.003841652534902096,0.0033848716411739588,0.0034923942293971777,0.0,0.001
0.28505587577819824,0.0,0.0028146435506641865,0.0038216677494347095,0.0032942071557044983,0.003356142668053508,0.0,0.001
0.2781749665737152,0.0,0.00274788704700768,0.003568316111341119,0.003136510495096445,0.0033854495268315077,0.0,0.001
0.2647174894809723,0.0,0.002614501165226102,0.003411955898627639,0.003056940622627735,0.0032932530157268047,0.0,0.001
0.25565463304519653,0.0,0.0025258068926632404,0.0032803514041006565,0.0028007333166897297,0.003337443107739091,0.0,0.001
0.24603340029716492,0.0,0.0024289891589432955,0.0032129185274243355,0.0029897710774093866,0.0033146950881928205,0.0,0.001
0.2330436408519745,0.0,0.0022999183274805546,0.0032009754795581102,0.0028367945924401283,0.003291834844276309,0.0,0.001
0.22493508458137512,0.0,0.0022212506737560034,0.0029367960523813963,0.00261907116509974,0.0032075964845716953,0.0,0.001
0.21951386332511902,0.0,0.002166979480534792,0.0028746335301548243,0.002693112473934889,0.00320439413189888,0.0,0.001
0.20635852217674255,0.0,0.002037071855738759,0.002751475665718317,0.0024881453718990088,0.003152925753965974,0.0,0.001
0.20076249539852142,0.0,0.001981724752113223,0.002739284187555313,0.00237796688452363,0.0031394590623676777,0.0,0.001
0.19781401753425598,0.0,0.001951670739799738,0.0028320804703980684,0.002398468554019928,0.003166633192449808,0.0,0.001
0.192405566573143,0.0,0.0018999739550054073,0.002522330032661557,0.0022315019741654396,0.0031259662937372923,0.0,0.001
0.19153928756713867,0.0,0.0018909490900114179,0.0024748966097831726,0.002350355964154005,0.0031735682860016823,0.0,0.001
0.1782170981168747,0.0,0.0017588058253750205,0.002519944915547967,0.002091599628329277,0.0030758148059248924,0.0,0.001
0.17931845784187317,0.0,0.0017705520149320364,0.0024039936251938343,0.002060970291495323,0.0030772483441978693,0.0,0.001
0.17686942219734192,0.0,0.0017465072451159358,0.0023133631329983473,0.0020619758870452642,0.003101818263530731,0.0,0.001
0.16732020676136017,0.0,0.0016511662397533655,0.0023105074651539326,0.002034652279689908,0.0030999365262687206,0.0,0.001
0.16149474680423737,0.0,0.0015927720814943314,0.002294461941346526,0.002078357618302107,0.003114167833700776,0.0,0.001
0.1554012894630432,0.0,0.0015333740739151835,0.0021249002311378717,0.001942607806995511,0.003012297675013542,0.0,0.001
0.15381678938865662,0.0,0.0015173758147284389,0.002209141617640853,0.001887824386358261,0.003072302555665374,0.0,0.001
0.15191704034805298,0.0,0.0014992590295150876,0.002067828318104148,0.0018539809389039874,0.0030240672640502453,0.0,0.001
0.14889705181121826,0.0,0.0014688913943246007,0.002011136384680867,0.0019445016514509916,0.0030081619042903185,0.0,0.001
0.1432812511920929,0.0,0.0014135991223156452,0.002009485848248005,0.0017732811393216252,0.0029965222347527742,0.0,0.001
0.14159150421619415,0.0,0.0013968313578516245,0.002017403021454811,0.0017395580653101206,0.002987425308674574,0.0,0.001
0.1340617686510086,0.0,0.0013212300837039948,0.0019916477613151073,0.0018255587201565504,0.003014608519151807,0.0,0.001
0.13409794867038727,0.0,0.0013227605959400535,0.0017966956365853548,0.001786997658200562,0.003003908321261406,0.0,0.001
0.1310640424489975,0.0,0.0012926391791552305,0.001812511240132153,0.0017267962684854865,0.003046321449801326,0.0,0.001
0.12924562394618988,0.0,0.0012741797836497426,0.0019229231402277946,0.0016724434681236744,0.002994580427184701,0.0,0.001
0.12781734764575958,0.0,0.001260996563360095,0.0018057144479826093,0.0015703472308814526,0.002965661697089672,0.0,0.001
0.1292831152677536,0.0,0.0012758254306390882,0.0017724409699440002,0.0015695675974711776,0.0029561060946434736,0.0,0.001
0.12002944201231003,0.0,0.0011832384625449777,0.0018280412768945098,0.0015244843671098351,0.0029330605175346136,0.0,0.001
0.11935824155807495,0.0,0.001176925259642303,0.0016887006349861622,0.0015830987831577659,0.0029817053582519293,0.0,0.001
0.116009920835495,0.0,0.0011439600493758917,0.0017055426724255085,0.0014638866996392608,0.0029199563432484865,0.0,0.001
0.11502403020858765,0.0,0.0011346330866217613,0.001643488765694201,0.0014196248957887292,0.0029161276761442423,0.0,0.001
0.11458759754896164,0.0,0.0011305586667731404,0.001582280034199357,0.001422563218511641,0.0029300563037395477,0.0,0.001
0.11038234829902649,0.0,0.001088623539544642,0.0015437152469530702,0.001438235049135983,0.0029018730856478214,0.0,0.001
0.10911722481250763,0.0,0.0010755864204838872,0.0016604664269834757,0.0013978772331029177,0.0029403846710920334,0.0,0.001
0.10835988819599152,0.0,0.001068608253262937,0.0016068719560280442,0.0013322836020961404,0.0029490350279957056,0.0,0.001
0.10782589018344879,0.0,0.0010632422054186463,0.0015486328629776835,0.0013965088874101639,0.002910500392317772,0.0,0.001
0.10820922255516052,0.0,0.0010674915974959731,0.0015794537030160427,0.0012817539973184466,0.002945982152596116,0.0,0.001
0.10195300728082657,0.0,0.0010049572447314858,0.0015265002148225904,0.0013305938336998224,0.002872770419344306,0.0,0.001
0.10297967493534088,0.0,0.0010153629118576646,0.0013832548866048455,0.001445567118935287,0.0028972947038710117,0.0,0.001
0.10001901537179947,0.0,0.0009861025027930737,0.0014581815339624882,0.001301810727454722,0.002876736456528306,0.0,0.001
0.10545042157173157,0.0,0.0010400861501693726,0.0014820843935012817,0.001343305571936071,0.0029106761794537306,0.0,0.001
0.10011918097734451,0.0,0.0009872785303741693,0.0014349425910040736,0.0012896776897832751,0.002902038861066103,0.0,0.001
0.09714952111244202,0.0,0.000957975338678807,0.0014164127642288804,0.0012287464924156666,0.0029407779220491648,0.0,0.001
0.09549888223409653,0.0,0.0009418748668394983,0.001330395694822073,0.0012341962428763509,0.0029105155263096094,0.0,0.001
0.0949738547205925,0.0,0.000936808530241251,0.0013330783694982529,0.0011943161953240633,0.0029313804116100073,0.0,0.001
0.09128289669752121,0.0,0.000899421633221209,0.0013511517317965627,0.0012731682509183884,0.0028572850860655308,0.0,0.001
0.09487912058830261,0.0,0.0009355868678539991,0.0013775406405329704,0.0012043248862028122,0.0029507274739444256,0.0,0.001
0.09090308845043182,0.0,0.0008960498962551355,0.0013422118499875069,0.0011964903678745031,0.0028749676421284676,0.0,0.001
0.09412490576505661,0.0,0.0009282263927161694,0.0012876879191026092,0.0012589694233611226,0.002893541008234024,0.0,0.001
0.08844110369682312,0.0,0.0008719884790480137,0.001294936751946807,0.0011308122193440795,0.0029374638106673956,0.0,0.001
0.08731988817453384,0.0,0.0008607984054833651,0.0013392808614298701,0.0010828187223523855,0.002899155719205737,0.0,0.001
0.0877925232052803,0.0,0.000865443900693208,0.0013073851587250829,0.0011307159438729286,0.0029089958406984806,0.0,0.001
0.0883166715502739,0.0,0.0008712908602319658,0.0011896081268787384,0.0011276217410340905,0.0028972092550247908,0.0,0.001
0.0847451239824295,0.0,0.0008352756849490106,0.0013006353983655572,0.0010760253062471747,0.002922928659245372,0.0,0.001
0.08401578664779663,0.0,0.0008286302327178419,0.0011410379083827138,0.0011062510311603546,0.002911502029746771,0.0,0.001
0.08568809926509857,0.0,0.0008454016642645001,0.0011980391573160887,0.0010379924206063151,0.0029919706284999847,0.0,0.001
0.07984942942857742,0.0,0.0007866924279369414,0.0012480404693633318,0.001054107677191496,0.002911028917878866,0.0,0.001
0.08300398290157318,0.0,0.0008184452308341861,0.0011800099164247513,0.0010802386095747352,0.0029329941608011723,0.0,0.001
0.07916485518217087,0.0,0.0007805933710187674,0.001137186773121357,0.001012924243696034,0.003046327969059348,0.0,0.001
0.08041564375162125,0.0,0.0007923752418719232,0.001214555581100285,0.0010830526007339358,0.0029322542250156403,0.0,0.001
0.0796758159995079,0.0,0.000785479845944792,0.0011824414832517505,0.0010150903835892677,0.0029061809182167053,0.0,0.001
0.07621479779481888,0.0,0.0007512820302508771,0.0011232217075303197,0.0009916217532008886,0.002916832221671939,0.0,0.001
0.0780322477221489,0.0,0.000769596197642386,0.001123506692238152,0.0009625091915950179,0.0029625440947711468,0.0,0.001
0.07581928372383118,0.0,0.000747287180274725,0.0011311231646686792,0.0009914736729115248,0.002926700282841921,0.0,0.001
0.07367557287216187,0.0,0.0007263929001055658,0.0010550518054515123,0.0009585798834450543,0.0029477872885763645,0.0,0.001
0.07364533096551895,0.0,0.0007261030259542167,0.0010536867193877697,0.0009571093833073974,0.002962387166917324,0.0,0.001
0.07505061477422714,0.0,0.0007405469077639282,0.0010391416726633906,0.0008938933606259525,0.002941093174740672,0.0,0.001
0.07105521112680435,0.0,0.0006996768061071634,0.0011101015843451023,0.0010060607455670834,0.002944645006209612,0.0,0.001
0.07336997985839844,0.0,0.0007236431702040136,0.0010511594591662288,0.0009018315467983484,0.0029171761125326157,0.0,0.001
0.07123784720897675,0.0,0.0007023371872492135,0.0010252256179228425,0.0009245365508832037,0.002924596657976508,0.0,0.001
0.07232999056577682,0.0,0.0007130191079340875,0.0010582790710031986,0.0009381806012243032,0.002985114697366953,0.0,0.001
0.06925296038389206,0.0,0.0006824168376624584,0.0010735364630818367,0.0008907304145395756,0.0029138103127479553,0.0,0.001
0.06798863410949707,0.0,0.000669777044095099,0.0010471014538779855,0.0009164466173388064,0.002915367716923356,0.0,0.001
0.0686258003115654,0.0,0.0006761509575881064,0.001016321824863553,0.0009464696049690247,0.0029300223104655743,0.0,0.001
0.06782165169715881,0.0,0.0006682938546873629,0.0010321533773094416,0.0008945570443756878,0.0028911272529512644,0.0,0.001
0.0679621621966362,0.0,0.0006695914780721068,0.001042324467562139,0.0009060743032023311,0.002881203778088093,0.0,0.001
0.06606342643499374,0.0,0.0006508213700726628,0.0010127935092896223,0.0008911798358894885,0.002929951995611191,0.0,0.001
0.06645849347114563,0.0,0.0006549129611812532,0.0009897351264953613,0.0008860108209773898,0.002932805335149169,0.0,0.001
0.06568196415901184,0.0,0.0006470896769315004,0.0009861065773293376,0.0009015873074531555,0.0029145481530576944,0.0,0.001
0.0645194873213768,0.0,0.0006358640384860337,0.0009725844138301909,0.0008353169541805983,0.0029135080985724926,0.0,0.001
0.06477849930524826,0.0,0.0006383114377968013,0.0009595335577614605,0.0008759712218306959,0.0029609629418700933,0.0,0.001
0.06204647198319435,0.0,0.0006112392875365913,0.0009563597850501537,0.0008308021351695061,0.0028964465018361807,0.0,0.001
0.06245020776987076,0.0,0.0006155489245429635,0.00092909304657951,0.0008043142152018845,0.002861023647710681,0.0,0.001
0.06260910630226135,0.0,0.0006169831031002104,0.0009154301369562745,0.000846713490318507,0.002972891554236412,0.0,0.001
0.06224774569272995,0.0,0.0006130665424279869,0.0009365207515656948,0.0008862650138325989,0.0029699383303523064,0.0,0.001
0.06265238672494888,0.0,0.0006174511509016156,0.0009451611549593508,0.0008102135616354644,0.00295843044295907,0.0,0.001
0.06159285083413124,0.0,0.0006068639922887087,0.0008902749395929277,0.0008641686290502548,0.0029229484498500824,0.0,0.001
0.0623929388821125,0.0,0.0006152454297989607,0.0009086203062906861,0.0007702498696744442,0.002895866520702839,0.0,0.001
0.05885539948940277,0.0,0.0005799098289571702,0.0008731128764338791,0.0007973872125148773,0.0029168170876801014,0.0,0.001
0.05914512649178505,0.0,0.0005828161956742406,0.0008885464048944414,0.0007781421300023794,0.0030162297189235687,0.0,0.001
0.05871981382369995,0.0,0.0005783651722595096,0.0009233490563929081,0.0007837857701815665,0.002972929272800684,0.0,0.001
0.05914172902703285,0.0,0.0005830148584209383,0.000830367614980787,0.0007914598099887371,0.002932853763923049,0.0,0.001
0.056546714156866074,0.0,0.0005570539506152272,0.0008601438021287322,0.0007631249609403312,0.0029683872126042843,0.0,0.001
