time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,2.4640732007323777e-06,7.439299447124395e-05,0.9306888686068262,0.01675566924900714,0.0007940850441764808,0.9704447538627595,35.51676442091774,0.48702954939733006,0.02710358712713928,4.7146787332822106e-05,0.09368391335010529,0.0037002197932451963,0.09091506153345108
66,0.18082191050052643,4.2379924198109036e-05,0.0010402139877441492,0.5813640931157308,0.03994805104183127,0.006383196262012893,0.6686613513277253,27.97008807790099,0.8444892625974159,0.38132869429483685,9.291968530976046e-05,0.16296130418777466,0.08073042333126068,0.1089659258723259
99,0.27123287320137024,3.614357804809984e-05,0.0019022147194098556,0.49052381421529057,0.07685074250429728,0.0243159943632119,0.6884449306800035,22.28703864293044,0.8895663331869635,0.5052993010700355,8.633151804394538e-06,0.07822895050048828,0.05704326927661896,0.05385632440447807
132,0.36164382100105286,3.5546934795895755e-05,0.0024350877416059787,0.5154440849259536,0.07025023403989973,0.028692032300752787,0.6058024578100234,23.067044491214183,0.8735886355118632,0.4955210303027787,-7.241141166922926e-05,0.08486982434988022,0.06126988306641579,0.05141434818506241
165,0.45205479860305786,4.098591929705755e-05,0.0031348436253195947,0.5457208531303432,0.08383596947264377,0.04105149071968375,0.7128186125146131,21.531392183033923,0.8519611187731183,0.4779108202087817,4.238554984595698e-05,0.0763636976480484,0.05200353264808655,0.054433465003967285
198,0.5424657464027405,3.1741196751743214e-05,0.002984737580054427,0.4908650949123887,0.09194315300056802,0.048709525399710206,0.6776915284173158,20.72961214195811,0.8821871270185278,0.543200659194324,-3.525997579108022e-05,0.061276260763406754,0.05290888994932175,0.04152640327811241
