model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,experiment,scenario,source_case,seed,repeat_epochs,Residual_MAE,Residual_RMSE,Residual_MaxAbs
Weak-PDE PINN seed 7,multi_seed_repeat,9.491153516733669e-06,0.0024178630384192137,0.2900782398721504,0.0302120106276299,0.02374693262646345,0.1869066919844163,30.59184695465116,0.9485278902811408,1.0631238756293666,0.00013619558318390726,89.53183603286743,multi_seed_repeat,heterogeneous,multi_source,7,700,296.49591064453125,413.2391052246094,3115.656005859375
Weak-PDE PINN seed 42,multi_seed_repeat,1.0197229015055054e-05,0.0025134161435953423,0.30143497156588267,0.031220423775963513,0.024592742269752735,0.18934236614503774,30.287211636210966,0.9453531773177514,1.0781061469020679,4.926402098511239e-05,89.4088020324707,multi_seed_repeat,heterogeneous,multi_source,42,700,317.2845458984375,432.07244873046875,2062.379150390625
Weak-PDE PINN seed 123,multi_seed_repeat,9.895930578120703e-06,0.0024682282908718733,0.29589316207620825,0.030824130143449997,0.02422501327021448,0.19079583986010729,30.412594866539923,0.9479818466880009,1.072616812323975,-4.035735541162227e-05,89.48922109603882,multi_seed_repeat,heterogeneous,multi_source,123,700,308.70404052734375,425.5178527832031,2643.885009765625
