time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,3.000334478340125e-06,0.0013496277139582367,0.3737631335413813,0.011637683360835694,0.009067669615537443,0.13003353772936987,38.682669266125146,0.9354580512882171,1.1259821967420363,-2.459723480296513e-05,0.14883953332901,0.13919684290885925,0.01935413107275963
66,0.18082191050052643,3.1593645161558335e-06,0.0013514175928190466,0.12758500813072796,0.013634068099537924,0.010366094391305893,0.1797600777330497,37.307490822301084,0.9920064037329509,1.022280363871295,5.054504851116709e-05,0.13036902248859406,0.13612410426139832,0.023435145616531372
99,0.27123287320137024,2.619391286476664e-06,0.0012870776867766687,0.10535529866013656,0.013366746323592426,0.010629926902366362,0.0499327471085141,37.47948587970498,0.9944515623952257,0.9998958840327336,-3.446360997670339e-05,0.12108057737350464,0.11672116816043854,0.0060458858497440815
132,0.36164382100105286,2.511335435116552e-06,0.0012506491844429357,0.10310663929548153,0.019155947542175967,0.015117736834898846,0.08656565261890722,34.35392721853003,0.9946592718546211,0.9999822559799364,6.332233640379104e-05,0.08272727578878403,0.08215169608592987,0.007161340676248074
165,0.45205479860305786,2.2777881089428333e-06,0.0011866768956052,0.10319891255651849,0.017291343423062083,0.013595793588497426,0.07286723255955098,35.243425272107004,0.9946172635733901,0.9882913012473332,-8.833658469236615e-06,0.08728265017271042,0.08642081171274185,0.006360045168548822
198,0.5424657464027405,2.33794980895399e-06,0.0011880305831157654,0.10607591958975628,0.02044887288161917,0.015888372167623663,0.09939295615129662,33.78661249619721,0.9943632773877813,0.997758815356215,4.505737868468565e-05,0.07477358728647232,0.07222632318735123,0.007431968115270138
