model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,experiment,factor_tested,ablation_epochs,lambda_pde,use_fourier,Residual_MAE,Residual_RMSE,Residual_MaxAbs
Data-only NN with Fourier,ablation_remove_physics,8.821687388699977e-06,0.002337275202811087,0.5272037222739917,0.0344326918954187,0.02715915480923928,0.18557438205968305,29.51286068017002,0.876372246261798,1.5890259838983651,-1.874214378098694e-05,72.048269033432,data_only_fourier,PDE term removed,700,0.0,True,363.6463623046875,510.65447998046875,4816.7900390625
Data-only NN without Fourier,ablation_remove_physics_and_fourier,0.00013761630648910435,0.00788807088184087,1.3304600496023966,0.13552693697531584,0.09768843911090093,0.9508238250416453,18.42487964189709,0.011395856189093265,1.0597354453685413,0.004755634072005063,60.906213998794556,data_only_no_fourier,PDE and Fourier terms removed,700,0.0,False,0.06382806599140167,0.0753084346652031,0.23437201976776123
Weak-PDE PINN without Fourier,ablation_remove_fourier,0.00011513590940786741,0.00505687644942076,1.0839544518757978,0.12197501563487523,0.06364011968982752,1.0012653353954966,19.79686506469706,0.00028037514545307257,0.2287329710125252,-0.0013725082831278514,101.39522004127502,weak_pde_no_fourier,Fourier features removed,700,1e-08,False,0.07583227753639221,0.0868578553199768,0.2571915090084076
Stronger-PDE PINN with Fourier,ablation_pde_weight_sensitivity,6.688909580000766e-06,0.00202787513227301,0.4491088090186505,0.03032753709644631,0.023793889457702094,0.2092128038291864,30.67442896271479,0.8888543977202185,1.340443814528012,0.00012576657943765696,115.51924991607666,stronger_pde_fourier,PDE weight increased,700,1e-07,True,181.74867248535156,241.4359893798828,1094.5919189453125
