total,pde,data,ic,bc,amplitude,lr
95.28399658203125,41710380.0,0.9433966279029846,0.8708207607269287,0.9990126490592957,0.9420047998428345,0.001
68.27032470703125,34833844.0,0.6754626631736755,0.6858033537864685,0.7488622069358826,0.6730479598045349,0.001
48.52524948120117,32022610.0,0.47953468561172485,0.5345445275306702,0.5994662642478943,0.47745251655578613,0.001
35.35740280151367,29912350.0,0.34914496541023254,0.4454937279224396,0.4333793818950653,0.3468737304210663,0.001
25.797075271606445,27467274.0,0.25446227192878723,0.3452591300010681,0.3513903021812439,0.2521000802516937,0.001
19.639118194580078,23663386.0,0.19348642230033875,0.28488704562187195,0.2922379970550537,0.19140362739562988,0.001
14.986281394958496,23665230.0,0.14751411974430084,0.23587988317012787,0.23095373809337616,0.14521896839141846,0.001
12.105634689331055,21616252.0,0.11926449835300446,0.18895669281482697,0.1670752316713333,0.11685170233249664,0.001
9.620807647705078,20054078.0,0.09475521743297577,0.1451662927865982,0.14354635775089264,0.09285952895879745,0.001
8.006536483764648,19860482.0,0.07890823483467102,0.10718802362680435,0.12270200252532959,0.07677538692951202,0.001
6.694022178649902,17299576.0,0.06592945754528046,0.09939291328191757,0.10148507356643677,0.06373734772205353,0.001
5.53373908996582,14897682.0,0.054499465972185135,0.07846467941999435,0.08807377517223358,0.052379310131073,0.001
4.849595069885254,14386131.0,0.04779515042901039,0.06655904650688171,0.0726843923330307,0.045822300016880035,0.001
4.135438919067383,13477208.0,0.04074195399880409,0.06058716028928757,0.06112135946750641,0.03896337002515793,0.001
3.6006345748901367,12532718.0,0.035487283021211624,0.05045750364661217,0.05267994850873947,0.0337616465985775,0.001
3.0522146224975586,10712319.0,0.03005344606935978,0.044008489698171616,0.04916238412261009,0.02845733053982258,0.001
2.6632070541381836,10259009.0,0.02623741514980793,0.03786752372980118,0.040565334260463715,0.024896888062357903,0.001
2.3072080612182617,10008296.0,0.022718429565429688,0.033547818660736084,0.03675224259495735,0.021507617086172104,0.001
2.011430263519287,9286634.0,0.01980637200176716,0.029267700389027596,0.031943101435899734,0.018765104934573174,0.001
1.7674700021743774,8953205.0,0.01738825999200344,0.028357673436403275,0.028600048273801804,0.016504717990756035,0.001
1.5367863178253174,8121190.5,0.01512408722192049,0.023698914796113968,0.02476959116756916,0.014335992746055126,0.001
1.3614301681518555,7957707.5,0.013391920365393162,0.022037524729967117,0.022185690701007843,0.012649700045585632,0.001
1.1807528734207153,6745401.5,0.011616894043982029,0.01840309426188469,0.01950758695602417,0.010817134752869606,0.001
1.0319331884384155,5910711.0,0.010143826715648174,0.016926869750022888,0.017986666411161423,0.009364886209368706,0.001
0.9184586405754089,5740416.5,0.009033836424350739,0.01507144421339035,0.014913264662027359,0.00826671440154314,0.001
0.834407389163971,5571816.0,0.008202066645026207,0.014230845496058464,0.014021405950188637,0.007462524808943272,0.001
0.746722400188446,4997285.0,0.00734090618789196,0.012506760656833649,0.012621886096894741,0.006747683510184288,0.001
0.6636781692504883,4713145.5,0.006527643650770187,0.010801163502037525,0.010904079303145409,0.006117902230471373,0.001
0.6079859137535095,4300962.0,0.005974419414997101,0.010607145726680756,0.010367228649556637,0.005682074464857578,0.001
0.5604082345962524,4236447.5,0.005511463154107332,0.009579525329172611,0.008838821202516556,0.005273276939988136,0.001
0.5108405947685242,3954106.75,0.005016817711293697,0.009393732063472271,0.008827357552945614,0.004836684092879295,0.001
0.4722852408885956,3640688.75,0.004639376420527697,0.00869082473218441,0.007914087735116482,0.004514303989708424,0.001
0.43571069836616516,3550550.0,0.004280343651771545,0.007838647812604904,0.0074299718253314495,0.004203076474368572,0.001
0.4082237482070923,3374124.25,0.004009074065834284,0.007241738494485617,0.007310312241315842,0.004031308460980654,0.001
0.37472519278526306,3313227.75,0.003678982611745596,0.006815740372985601,0.006761608179658651,0.0038267734926193953,0.001
