model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,experiment,scenario,source_case,seed,repeat_epochs,Residual_MAE,Residual_RMSE,Residual_MaxAbs
Weak-PDE PINN seed 7,multi_seed_repeat,9.831662770841563e-06,0.0024485810533995613,0.3089038244313536,0.03130711631545396,0.02449341387305391,0.21710633931012677,30.29980759617112,0.945644662875638,1.0595374744162764,0.00011730944856452451,89.5171480178833,multi_seed_repeat,faulted,multi_source,7,700,257.50567626953125,358.10418701171875,1860.1129150390625
Weak-PDE PINN seed 42,multi_seed_repeat,1.0527374617451578e-05,0.0025520318571556583,0.3206564510935712,0.03232127974298917,0.025468487702192302,0.1998079846392271,30.008829721278428,0.9432334044220609,1.0789840315669832,6.356271678634495e-05,88.8239119052887,multi_seed_repeat,faulted,multi_source,42,700,306.57110595703125,429.6716003417969,2316.106689453125
Weak-PDE PINN seed 123,multi_seed_repeat,1.0043670070376057e-05,0.002482319646516841,0.3108524926126689,0.03162112512784882,0.024822294179429272,0.19516107286508058,30.211356909695166,0.9456965748174161,1.068318740366429,9.257747179003109e-05,88.87612390518188,multi_seed_repeat,faulted,multi_source,123,700,281.4242858886719,393.6324768066406,1972.895263671875
