time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,5.768208096126365e-06,0.00021933170133713587,0.4970027081922487,0.01460288022637191,0.0013335812190512321,0.46100971127472234,36.71122953766283,0.8673701464486279,0.8140614058809518,-1.3144263717793627e-05,0.1644681990146637,0.1237005740404129,0.07582143694162369
66,0.18082191050052643,5.146800998962882e-05,0.0015694230870128803,0.5117379411346653,0.05668645795187967,0.01240082759604613,0.9863040212717082,24.930413580241392,0.8616148555901078,0.8569421463281368,0.00024404849505641678,0.12655793130397797,0.14628347754478455,0.12482459843158722
99,0.27123287320137024,8.337754189944272e-05,0.003762069740754984,0.6377531929165159,0.09128710972576731,0.0376107293587333,0.8080381171263574,20.79181086118662,0.7897096217259455,0.909440021456552,0.0009782343235519308,0.10002650320529938,0.09027112275362015,0.08082522451877594
132,0.36164382100105286,0.00014808916251456597,0.006343777806835469,0.9713354463987189,0.12985633523833806,0.06769388930688384,0.7840303736543767,17.730737156051898,0.526281439196397,0.9409753824733547,-0.002218297113374329,0.0937127098441124,0.07386293262243271,0.07347360998392105
165,0.45205479860305786,0.00019365946502465712,0.008630978345638132,1.1081680570737378,0.17724591933031117,0.10993017224999548,0.9631392916635746,15.028475092740363,0.3370690123747874,0.8447680921869517,0.0009972510477883713,0.07851327955722809,0.06315416097640991,0.07561922073364258
198,0.5424657464027405,0.000233877289590372,0.010012720109808228,1.180400034684886,0.20328938061098903,0.13309837183515053,1.120395764968886,13.83770614711187,0.21168316654641808,0.7695768358993789,-0.0004022565982158739,0.07522796839475632,0.07646813988685608,0.08428509533405304
