time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,6.352367727503961e-06,0.0019953188302069833,1.4228982108945407,0.02561716917938793,0.02028035823530153,0.14808627600178353,31.829377271449154,0.5518401673213288,2.913086336344581,-0.0001062489497632295,0.09838676452636719,0.08381703495979309,0.014569729566574097
66,0.18082191050052643,6.0246392862835226e-06,0.0019457124865372003,0.20871895307987678,0.01434198394421827,0.011369002793969877,0.05265856863527183,36.86781536049206,0.9790244356397472,1.046567551725792,0.00014572610249264737,0.1711418777704239,0.17289166152477264,0.009012086316943169
99,0.27123287320137024,5.127217063183912e-06,0.0017695926759736331,0.17591936816950302,0.027561422660923568,0.02153942429797078,0.1180605161815972,31.1939673769121,0.9847164126114415,1.0189742894569005,-2.160554512045524e-05,0.0821559876203537,0.0832248255610466,0.009699378162622452
132,0.36164382100105286,3.932943987651995e-06,0.001490553225088757,0.16325543406570436,0.022250190995460512,0.01672331426886928,0.1031612737255138,33.053325133734205,0.9869519598415082,1.0247544922644272,0.0001119038838335386,0.08913025259971619,0.08839637041091919,0.00919479038566351
165,0.45205479860305786,2.7654455986677998e-06,0.00124244657059034,0.1349783268879437,0.020735951021623008,0.015492414937528242,0.10230907564115133,33.66552083226252,0.9907858532761232,1.0034146336889942,4.7826698354924215e-05,0.08019708842039108,0.07876074314117432,0.008204890415072441
198,0.5424657464027405,2.467241871985664e-06,0.0011665658898606835,0.13031208469988625,0.024408557637796494,0.018127817769389175,0.1347125445960649,32.24915766725113,0.9915585963850206,1.007716503661748,0.00019254038083803518,0.06435225158929825,0.06412773579359055,0.008669055998325348
