time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,1.6046468696668001e-06,0.00010801198463827739,0.273338849673388,0.00851082061672026,0.0007256941903970952,0.38005088275941057,41.400571260984584,0.9778212503164571,0.6435463250773673,2.156596312768585e-06,0.14883953332901,0.09227293729782104,0.056566596031188965
66,0.18082191050052643,6.701222790831394e-05,0.0025451743609236246,0.5875932605839566,0.06279175466621094,0.01952284608980865,0.7138138068974709,24.041947615085427,0.8122874384285943,0.7881976190412683,-0.00012634225908462053,0.13036902248859406,0.15058378875255585,0.09305921196937561
99,0.27123287320137024,0.00026825920043527306,0.007912753695562925,1.066187302851795,0.13527041726328945,0.06535113944124969,0.8465776289200279,17.37594340641485,0.3728876978848909,0.8050518781700194,0.0005531778015843024,0.12108057737350464,0.08421744406223297,0.10250410437583923
132,0.36164382100105286,0.0004322299314128509,0.012518165443737496,1.3526694704437932,0.2513093782784149,0.15131847778595267,1.543515417301641,11.995826085007359,-0.0032125940378827495,0.8318528228725389,-0.0003978955833625206,0.08272727578878403,0.08954131603240967,0.12769082188606262
165,0.45205479860305786,0.00042559832938385495,0.014521799544168549,1.4106472207792544,0.23635893963440266,0.16637670276319017,1.1209074908072034,12.52855934084359,-0.08991653208434211,0.8243422698041353,-0.0015604628172496474,0.08728265017271042,0.05852595716714859,0.09783577919006348
198,0.5424657464027405,0.0003460689565086056,0.01284691730991909,1.2905669389572907,0.24879010601107743,0.1718108997592963,1.3111493481278935,12.083337896845642,-0.0034551850512587576,0.6715808356944618,0.0014736615175035483,0.07477358728647232,0.05911315977573395,0.09803934395313263
