time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,8.838656964005213e-06,0.000277111453011104,0.6152214016033973,0.018076369187187413,0.0016848938255011672,0.7318368194900299,34.85777594659439,0.8036468256672481,0.4115648517327254,3.669378838809691e-05,0.1644681990146637,0.06844751536846161,0.12036388367414474
66,0.18082191050052643,6.892092419118736e-05,0.0019148061354087155,0.5921810087507143,0.06559733245109407,0.015129878591406222,1.3411634292964492,23.662276421427425,0.8117841286288586,0.5075138069074023,-4.2568407358918e-06,0.12655793130397797,0.11535627394914627,0.1697348654270172
99,0.27123287320137024,6.514549091487277e-05,0.0031725928856918854,0.5637288723096274,0.08069137088404742,0.03171752269676265,0.6599847080109018,21.863458122861516,0.837589305254984,0.4876873923809341,-3.6808174328974925e-05,0.10002650320529938,0.08400370180606842,0.06601595878601074
132,0.36164382100105286,5.7640796000687534e-05,0.0034449471321979343,0.60599994364234,0.08101519627209343,0.036760724750447143,0.7237517612230715,21.828670230299135,0.7973988387328664,0.5335400032625816,-7.038654935803899e-05,0.0937127098441124,0.0937127098441124,0.06782473623752594
165,0.45205479860305786,4.390654860692555e-05,0.0035986599058416544,0.5276560394423627,0.08439593543971768,0.04583504760132459,0.7125121134490695,21.47356937521397,0.862599048908069,0.509596638500633,-0.00021028265808941042,0.07851327955722809,0.05716663599014282,0.055941663682460785
198,0.5424657464027405,4.154433400316722e-05,0.0038424407494193984,0.49749771240395485,0.08567942971721679,0.05107728988846695,0.9153651155445612,21.34246865666363,0.8801928403016362,0.5297867068440797,-8.291568729195482e-05,0.07522796839475632,0.05336728319525719,0.06886105984449387
