time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,2.6747160129558767e-08,1.2351888429926809e-05,0.09233042971709683,0.001662272269624603,0.00012554420799777962,0.08472358868231782,55.58595680103671,0.9978306989178821,0.8705581311422527,2.837247591783282e-06,0.09838676452636719,0.0900510847568512,0.008335679769515991
66,0.18082191050052643,1.140904221171116e-05,0.000759599229400892,0.2872241523599152,0.019736416462194133,0.004438418225256631,0.23867178293127891,34.09463398568404,0.9586485283565553,0.8431072630594177,5.9855211790459426e-05,0.1711418777704239,0.14809033274650574,0.04084673523902893
99,0.27123287320137024,0.00012056999794887454,0.0037177866577818844,0.8530852468019564,0.13365352148293497,0.0452527778615715,0.9354580526154938,17.480391880616683,0.6099881623549096,0.8574059612729285,1.1075802184780489e-05,0.0821559876203537,0.06135311722755432,0.07685348391532898
132,0.36164382100105286,0.0002568550153487213,0.0076867673598577544,1.3193280330169652,0.17981208949209168,0.08624195641382297,1.0414095113961044,14.903622245026025,0.11424929754909953,0.9651006171324279,3.863671102867581e-05,0.08913025259971619,0.045611973851919174,0.09282109141349792
165,0.45205479860305786,0.000359090276096034,0.01153875862605484,1.538095506090804,0.2362888458926817,0.14388001925417743,1.0391952451399686,12.53113557849037,-0.24630096943129928,0.9126387967863279,-0.0007185165149712653,0.08019708842039108,0.038444556295871735,0.08334043622016907
198,0.5424657464027405,0.0002919937485059719,0.011023821313969149,1.4176388480699538,0.26553576832406467,0.17130436063564877,1.0926120497433605,11.51753940204662,-0.1781990635752065,0.7544102739556263,0.00116578472298721,0.06435225158929825,0.03939278796315193,0.07031204551458359
