time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,8.328325861421628e-06,0.0002727943712881327,0.6227166537005806,0.01938922967233786,0.0018328085636033294,0.7169798683519728,34.24878889908458,0.797477615092894,0.40543960820552183,5.1174574394688424e-05,0.14883953332901,0.06599238514900208,0.10671494901180267
66,0.18082191050052643,8.021198090785713e-05,0.0021633707958092258,0.6428644325879732,0.0686981768555006,0.016594208919519193,1.193927316946772,23.26109576597116,0.7737439413655337,0.43786592342094627,5.709431197378221e-05,0.13036902248859406,0.09875550866127014,0.15565113723278046
99,0.27123287320137024,7.691184003143656e-05,0.0035736983457894957,0.5708904710363363,0.0724306057877109,0.029515042158788942,0.6626162993903204,22.80155764952432,0.836170811364124,0.4592238200742918,2.062516435310493e-05,0.12108057737350464,0.09687435626983643,0.08022996783256531
132,0.36164382100105286,6.703402641648844e-05,0.004251746901730352,0.53269905000687,0.09896894251838702,0.05139474086618955,0.6822793277090841,20.090021402799863,0.8598057649823855,0.4961971046098571,-3.778538054690827e-05,0.08272727578878403,0.055708348751068115,0.05644311010837555
165,0.45205479860305786,5.039020118968217e-05,0.004213511568928874,0.48539076191070085,0.08132894185278454,0.04827433127421537,0.7016408577502167,21.795097562846472,0.8856510236777625,0.547934005928816,1.0275524873508645e-05,0.08728265017271042,0.046069979667663574,0.06124107539653778
198,0.5424657464027405,5.064697609427823e-05,0.0042782228717044984,0.49371460427473624,0.09517624001430718,0.05721569643721633,0.7425300913486836,20.429429124448333,0.8825909644312958,0.5366044240096263,0.00019513377482270494,0.07477358728647232,0.06741970777511597,0.055521637201309204
