model_type,dx,dz,dt,c_min,c_max,c_mean,cfl,source_x_index,source_z_index,source_x,source_z,max_abs_amplitude,damping_width,damping_min,damping_max,source_frequency,source_amplitude
heterogeneous,0.014492753623188406,0.014492753623188406,0.0027397260273972603,0.800000011920929,2.0,1.2591617107391357,0.5346889633081839,34,34,0.49275362491607666,0.49275362491607666,0.3428609073162079,10,0.9323938488960266,1.0,8.0,5000.0
homogeneous,0.014492753623188406,0.014492753623188406,0.0027397260273972603,1.25,1.25,1.25,0.3341806020676149,34,34,0.49275362491607666,0.49275362491607666,0.30717402696609497,10,0.9323938488960266,1.0,8.0,5000.0
layered,0.014492753623188406,0.014492753623188406,0.0027397260273972603,1.0,1.5,1.25,0.401016722481138,34,34,0.49275362491607666,0.49275362491607666,0.3428609073162079,10,0.9323938488960266,1.0,8.0,5000.0
