time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs
33,0.09041095525026321,8.491567163416153e-23,2.383241024095474e-13,5.202354497395086e-09,9.366066684920225e-11,2.4223187291180583e-12,6.237274217695836e-09,inf,0.9999999999999969,0.9999999999999999,2.2616319902078693e-13,0.09838676452636719,0.09838676452636719,6.136652297428213e-10
66,0.18082191050052643,6.056930914530539e-10,2.470769692237834e-06,0.002092775647522299,0.00014380368573489936,1.4436967295358397e-05,0.003984813834828439,76.84459965405365,0.9999978067252561,0.9999961350345402,4.0533697791587443e-07,0.1711418777704239,0.1711418777704239,0.0006819685222581029
99,0.27123287320137024,6.545379716962426e-06,0.0006230043572843376,0.19876514404501983,0.031140687931562525,0.007583188703947753,0.280994922366346,30.133435952518223,0.9801292888056745,0.9855808527176853,1.5144706213129558e-05,0.0821559876203537,0.0821559727191925,0.023085415363311768
132,0.36164382100105286,7.902435040342442e-05,0.0030743902763072186,0.7317946541454771,0.09973677701681093,0.03449322970186453,0.8582440674721596,20.022893401404648,0.7407538095618995,1.062880276894286,5.762816710963919e-05,0.08913025259971619,0.06978646665811539,0.07649551331996918
165,0.45205479860305786,9.542428951988261e-05,0.004673434811337075,0.7928863629288455,0.12180661270942067,0.058274370097316376,1.0576951939502062,18.286582676549617,0.6907588873965831,1.0634924795193827,0.00040244153101014126,0.08019708842039108,0.061364565044641495,0.0848240777850151
198,0.5424657464027405,9.77612314374968e-05,0.0056856420873522655,0.8202800719668613,0.1536454079592854,0.08835187498393274,0.791012144195124,16.269608301740707,0.6612006287424994,0.9637637557837756,-0.0012838013607525153,0.06435225158929825,0.0572146512567997,0.05090341344475746
