model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds
Homogeneous FDM baseline,traditional_simplified_baseline,0.00017332413787857375,0.005789847512582408,0.917950369342782,0.13944815232059862,0.07520717943307918,0.7386783717514206,24.35221331548341,0.37603610902865675,0.8672035072248301,9.327886343527397e-05,0.006636142730712891
Layered FDM baseline,traditional_layered_baseline,4.6459309461809616e-05,0.0023431570503685763,0.4243031689893468,0.06774554823274585,0.03145285007612985,0.49865519134265646,inf,0.8454734035386515,1.0126189166582782,-0.00013469693653592104,0.007631063461303711
Data-only NN,neural_model,4.444975922546143e-06,0.0016016982797095996,0.3726803962995758,0.02248587923990163,0.017255388717171482,0.1098313757968971,33.143193940350194,0.9141462375125283,1.335752301190407,6.169042843924343e-05,777.7790310382843
