model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,experiment,scenario,source_case,factor_tested,ablation_epochs,lambda_pde,use_fourier,Residual_MAE,Residual_RMSE,Residual_MaxAbs
Data-only NN with Fourier,ablation_remove_physics,1.155253483711014e-05,0.0026786796767132933,0.321448416343347,0.03319438556744294,0.026171886568428743,0.18745007100419167,29.749186019047087,0.939881571583005,1.1044450097512852,5.335729118426103e-05,62.90726709365845,data_only_fourier,heterogeneous,multi_source,PDE term removed,700,0.0,True,406.501220703125,559.0987548828125,3887.833251953125
Data-only NN without Fourier,ablation_remove_physics_and_fourier,0.00019186202435685486,0.008345828752399106,1.0260853730298407,0.13785032031517372,0.09026431316655796,0.9664890945751269,18.432231395274115,0.023673573084029273,0.06692607917256856,0.002652661230901722,60.088605880737305,data_only_no_fourier,heterogeneous,multi_source,PDE and Fourier terms removed,700,0.0,False,0.058229461312294006,0.07343696802854538,0.3751572370529175
Weak-PDE PINN without Fourier,ablation_remove_fourier,0.00018803134269714515,0.007648234518138094,1.0250295172191426,0.13655516467758846,0.08185351758940264,1.0031298977787892,18.44679599872457,0.04447399619856091,0.07327690047275214,-0.0020151982151510187,83.3652138710022,weak_pde_no_fourier,heterogeneous,multi_source,Fourier features removed,700,1e-08,False,0.10427461564540863,0.12281401455402374,0.3942738175392151
Stronger-PDE PINN with Fourier,ablation_pde_weight_sensitivity,9.786165720319372e-06,0.0024448031234050828,0.2898304693513203,0.03105408783298284,0.024307493033495484,0.21674631090027144,30.438961782121527,0.9490881527142468,1.0295378762862546,9.36339632440262e-05,89.29399991035461,stronger_pde_fourier,heterogeneous,multi_source,PDE weight increased,700,1e-07,True,201.38734436035156,267.6636962890625,1716.29638671875
